trade_date,board_id,board_name,board_type,classification_system,open,high,low,close,volume,amount,turnover,constituent_count,positive_constituent_share,negative_constituent_share,trailing_return_5d,trailing_return_20d,trailing_volatility_20d,source_id,source_provider,provider_timestamp,pit_available_date,no_lookahead_status,data_status,non_actionable_disclaimer
2026-04-15,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.4400000000,0.5400000000,0.0244129316,0.0316477059,0.0145332194,industry_indices,baostock,2026-04-15,2026-04-15,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-15,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.7590380000,50,0.4400000000,0.5400000000,0.0244129316,0.0316477059,0.0145332194,market_turnover_proxy,baostock,2026-04-15,2026-04-15,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-16,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.5400000000,0.4400000000,0.0104968794,0.0245482648,0.0140174297,market_breadth_proxy,baostock,2026-04-16,2026-04-16,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-16,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.5400000000,0.4400000000,0.0104968794,0.0245482648,0.0140174297,industry_indices,baostock,2026-04-16,2026-04-16,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-16,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.6850380000,50,0.5400000000,0.4400000000,0.0104968794,0.0245482648,0.0140174297,market_turnover_proxy,baostock,2026-04-16,2026-04-16,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-17,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.2000000000,0.7600000000,0.0086064763,0.0258060636,0.0139957609,market_breadth_proxy,baostock,2026-04-17,2026-04-17,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-17,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.2000000000,0.7600000000,0.0086064763,0.0258060636,0.0139957609,industry_indices,baostock,2026-04-17,2026-04-17,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-17,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.6500020000,50,0.2000000000,0.7600000000,0.0086064763,0.0258060636,0.0139957609,market_turnover_proxy,baostock,2026-04-17,2026-04-17,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-20,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.5200000000,0.4600000000,0.0028387104,0.0053927511,0.0115060959,market_breadth_proxy,baostock,2026-04-20,2026-04-20,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-20,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.5200000000,0.4600000000,0.0028387104,0.0053927511,0.0115060959,industry_indices,baostock,2026-04-20,2026-04-20,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-20,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.7382980000,50,0.5200000000,0.4600000000,0.0028387104,0.0053927511,0.0115060959,market_turnover_proxy,baostock,2026-04-20,2026-04-20,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-21,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.4000000000,0.6000000000,-0.0020530005,0.0161700186,0.0113429463,market_breadth_proxy,baostock,2026-04-21,2026-04-21,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
